gene_id	control_1	control_2	treatment_1	treatment_2
Glyma.06G185200.Wm82.a4.v1	8	34	2	2
Glyma.06G185300.Wm82.a4.v1	1088	1721	159	270
Glyma.06G185400.Wm82.a4.v1	181	138	90	133
Glyma.06G185433.Wm82.a4.v1	10	0	0	0
Glyma.06G185466.Wm82.a4.v1	0	0	0	2
Glyma.06G185500.Wm82.a4.v1	198	163	55	152
Glyma.06G185600.Wm82.a4.v1	480	371	234	443
Glyma.06G185800.Wm82.a4.v1	1	4	2	5
Glyma.06G185900.Wm82.a4.v1	43	106	28	91
Glyma.06G186000.Wm82.a4.v1	79	35	31	63
Glyma.06G186200.Wm82.a4.v1	19	69	165	248
Glyma.06G186300.Wm82.a4.v1	7835	7204	4492	9473
Glyma.06G186400.Wm82.a4.v1	458	347	182	380
Glyma.06G186500.Wm82.a4.v1	0	0	0	0
Glyma.06G186600.Wm82.a4.v1	0	5	6	4
Glyma.06G186800.Wm82.a4.v1	351	209	189	424
Glyma.06G186900.Wm82.a4.v1	2523	2196	827	1829
Glyma.06G187000.Wm82.a4.v1	196	251	59	142
Glyma.06G187100.Wm82.a4.v1	0	0	0	0
Glyma.06G187200.Wm82.a4.v1	789	920	1530	2673
Glyma.06G187300.Wm82.a4.v1	170	58	85	185
Glyma.06G187400.Wm82.a4.v1	189	104	292	444
Glyma.06G187500.Wm82.a4.v1	1073	1183	415	1253
Glyma.06G187600.Wm82.a4.v1	1310	1352	465	1275
Glyma.06G187700.Wm82.a4.v1	0	0	2	9
Glyma.06G187800.Wm82.a4.v1	0	22	0	0
Glyma.06G187900.Wm82.a4.v1	0	0	0	0
Glyma.06G188000.Wm82.a4.v1	382	361	143	325
Glyma.06G188100.Wm82.a4.v1	152	148	28	78
Glyma.06G188200.Wm82.a4.v1	0	0	0	0
Glyma.06G188300.Wm82.a4.v1	157	182	108	174
Glyma.06G188400.Wm82.a4.v1	0	9	0	0
Glyma.06G188500.Wm82.a4.v1	80	127	60	128
Glyma.06G188600.Wm82.a4.v1	105	216	87	183
Glyma.06G188700.Wm82.a4.v1	0	0	0	0
Glyma.06G188800.Wm82.a4.v1	113	328	163	281
Glyma.06G188900.Wm82.a4.v1	904	1018	585	1393
Glyma.06G189000.Wm82.a4.v1	0	0	0	0
Glyma.06G189100.Wm82.a4.v1	0	0	0	0
Glyma.06G189251.Wm82.a4.v1	23	25	11	17
Glyma.06G189300.Wm82.a4.v1	0	0	0	0
Glyma.06G189400.Wm82.a4.v1	53	26	18	69
Glyma.06G189500.Wm82.a4.v1	82	33	67	105
Glyma.06G189600.Wm82.a4.v1	445	417	314	626
Glyma.06G189700.Wm82.a4.v1	129	166	136	273
Glyma.06G189900.Wm82.a4.v1	1218	1503	406	1262
Glyma.06G190000.Wm82.a4.v1	136	90	19	31
Glyma.06G190100.Wm82.a4.v1	0	7	0	0
Glyma.06G190200.Wm82.a4.v1	1331	1211	393	1370
Glyma.06G190300.Wm82.a4.v1	480	534	106	247
Glyma.06G190400.Wm82.a4.v1	14	0	5	8
Glyma.06G190500.Wm82.a4.v1	17	0	0	0
Glyma.06G190600.Wm82.a4.v1	114	253	112	129
Glyma.06G190800.Wm82.a4.v1	41	37	18	61
Glyma.06G190900.Wm82.a4.v1	4240	4059	1518	3050
Glyma.06G191000.Wm82.a4.v1	213	132	18	52
Glyma.06G191200.Wm82.a4.v1	91	106	54	60
Glyma.06G191300.Wm82.a4.v1	314	414	383	732
Glyma.06G191400.Wm82.a4.v1	121	257	138	267
Glyma.06G191500.Wm82.a4.v1	0	0	0	3
Glyma.06G191600.Wm82.a4.v1	155	242	91	179
Glyma.06G191700.Wm82.a4.v1	0	0	0	0
Glyma.06G191800.Wm82.a4.v1	0	0	0	0
Glyma.06G191850.Wm82.a4.v1	0	0	0	0
Glyma.06G191900.Wm82.a4.v1	333	158	105	246
Glyma.06G192000.Wm82.a4.v1	156	212	76	159
Glyma.06G192050.Wm82.a4.v1	0	0	0	0
Glyma.06G192100.Wm82.a4.v1	0	0	5	0
Glyma.06G192200.Wm82.a4.v1	140	145	59	80
Glyma.06G192300.Wm82.a4.v1	0	0	0	0
Glyma.06G192400.Wm82.a4.v1	226	206	164	248
Glyma.06G192500.Wm82.a4.v1	4822	4223	1728	2969
Glyma.06G192600.Wm82.a4.v1	273	206	69	141
Glyma.06G192700.Wm82.a4.v1	76	162	49	104
Glyma.06G192800.Wm82.a4.v1	287	244	71	172
Glyma.06G193000.Wm82.a4.v1	263	302	67	141
Glyma.06G193067.Wm82.a4.v1	7	0	4	0
Glyma.06G193133.Wm82.a4.v1	0	0	3	1
Glyma.06G193200.Wm82.a4.v1	803	671	224	532
Glyma.06G193302.Wm82.a4.v1	67	22	9	9
Glyma.06G193400.Wm82.a4.v1	0	0	0	0
Glyma.06G193500.Wm82.a4.v1	245	157	171	236
Glyma.06G193600.Wm82.a4.v1	47	107	20	37
Glyma.06G193800.Wm82.a4.v1	5055	4737	824	2088
Glyma.06G193900.Wm82.a4.v1	433	608	200	337
Glyma.06G194000.Wm82.a4.v1	52	20	9	11
Glyma.06G194100.Wm82.a4.v1	130	218	21	127
Glyma.06G194200.Wm82.a4.v1	227	323	136	256
Glyma.06G194300.Wm82.a4.v1	0	0	0	0
Glyma.06G194500.Wm82.a4.v1	0	0	0	0
Glyma.06G194600.Wm82.a4.v1	7	9	6	8
Glyma.06G194700.Wm82.a4.v1	0	0	0	0
Glyma.06G194800.Wm82.a4.v1	289	82	42	170
Glyma.06G194850.Wm82.a4.v1	0	0	0	0
Glyma.06G194900.Wm82.a4.v1	1421	1075	108	614
Glyma.06G195000.Wm82.a4.v1	7	10	5	10
Glyma.06G195100.Wm82.a4.v1	539	581	132	369
Glyma.06G195200.Wm82.a4.v1	77	42	12	36
Glyma.06G195300.Wm82.a4.v1	622	992	412	754
Glyma.06G195401.Wm82.a4.v1	0	0	0	0
Glyma.06G195500.Wm82.a4.v1	0	17	2	13
Glyma.06G195600.Wm82.a4.v1	81	104	18	44
Glyma.06G195633.Wm82.a4.v1	0	0	0	0
Glyma.06G195666.Wm82.a4.v1	0	0	0	0
Glyma.06G195700.Wm82.a4.v1	194	315	110	183
Glyma.06G195800.Wm82.a4.v1	1430	1041	476	932
Glyma.06G195900.Wm82.a4.v1	286	253	91	245
Glyma.06G196000.Wm82.a4.v1	0	11	2	12
Glyma.06G196100.Wm82.a4.v1	0	0	0	2
Glyma.06G196200.Wm82.a4.v1	310	429	176	341
Glyma.06G196300.Wm82.a4.v1	271	314	98	221
Glyma.06G196400.Wm82.a4.v1	401	322	68	244
Glyma.06G196600.Wm82.a4.v1	235	228	129	247
Glyma.06G196700.Wm82.a4.v1	620	765	234	764
Glyma.06G196800.Wm82.a4.v1	914	1248	297	625
Glyma.06G196900.Wm82.a4.v1	320	497	305	459
Glyma.06G197000.Wm82.a4.v1	0	0	0	0
Glyma.06G197100.Wm82.a4.v1	0	0	0	0
Glyma.06G197200.Wm82.a4.v1	0	0	9	0
Glyma.06G197300.Wm82.a4.v1	2886	3248	1236	2102
Glyma.06G197600.Wm82.a4.v1	39	64	208	313
Glyma.06G197700.Wm82.a4.v1	0	0	2	0
Glyma.06G197800.Wm82.a4.v1	29	15	0	0
Glyma.06G197900.Wm82.a4.v1	0	0	0	0
Glyma.06G197933.Wm82.a4.v1	0	0	0	0
Glyma.06G197966.Wm82.a4.v1	0	0	0	0
Glyma.06G198000.Wm82.a4.v1	301	264	85	206
Glyma.06G198100.Wm82.a4.v1	699	596	129	320
Glyma.06G198300.Wm82.a4.v1	0	0	0	2
Glyma.06G198401.Wm82.a4.v1	135	169	52	67
Glyma.06G198500.Wm82.a4.v1	0	0	2	11
Glyma.06G198550.Wm82.a4.v1	82	144	55	144
Glyma.06G198600.Wm82.a4.v1	32	63	34	77
Glyma.06G198800.Wm82.a4.v1	0	1	0	0
Glyma.06G199700.Wm82.a4.v1	51	49	15	39
Glyma.06G199800.Wm82.a4.v1	431	618	141	399
Glyma.06G199900.Wm82.a4.v1	0	0	0	0
Glyma.06G200000.Wm82.a4.v1	817	932	388	797
Glyma.06G200100.Wm82.a4.v1	464	568	539	795
Glyma.06G200166.Wm82.a4.v1	0	0	0	0
Glyma.06G200232.Wm82.a4.v1	0	0	0	0
Glyma.06G200300.Wm82.a4.v1	0	0	0	14
Glyma.06G200400.Wm82.a4.v1	5	0	0	7
Glyma.06G200600.Wm82.a4.v1	18	17	1	32
Glyma.06G200800.Wm82.a4.v1	2	11	0	2
Glyma.06G200950.Wm82.a4.v1	0	0	0	0
Glyma.06G201000.Wm82.a4.v1	0	0	0	6
Glyma.06G201100.Wm82.a4.v1	33	53	32	35
Glyma.06G201200.Wm82.a4.v1	39	41	4	70
Glyma.06G201301.Wm82.a4.v1	0	0	0	0
Glyma.06G201451.Wm82.a4.v1	0	0	7	2
Glyma.06G201500.Wm82.a4.v1	382	418	179	517
Glyma.06G201600.Wm82.a4.v1	331	310	181	305
Glyma.06G201700.Wm82.a4.v1	154	220	112	213
Glyma.06G201800.Wm82.a4.v1	958	894	485	753
Glyma.06G201900.Wm82.a4.v1	0	0	0	0
Glyma.06G202000.Wm82.a4.v1	95	140	74	208
Glyma.06G202100.Wm82.a4.v1	803	766	397	908
Glyma.06G202200.Wm82.a4.v1	30	21	25	36
Glyma.06G202300.Wm82.a4.v1	240	194	113	461
Glyma.06G202500.Wm82.a4.v1	813	1097	612	1372
Glyma.06G202600.Wm82.a4.v1	93	98	27	38
Glyma.06G202700.Wm82.a4.v1	0	0	0	0
Glyma.06G202900.Wm82.a4.v1	0	0	0	0
Glyma.06G203000.Wm82.a4.v1	0	0	0	0
Glyma.06G203100.Wm82.a4.v1	6	27	4	9
Glyma.06G203150.Wm82.a4.v1	0	0	0	0
Glyma.06G203200.Wm82.a4.v1	3932	2695	1533	3628
Glyma.06G203300.Wm82.a4.v1	271	382	120	245
Glyma.06G203350.Wm82.a4.v1	0	0	0	0
Glyma.06G203400.Wm82.a4.v1	0	0	0	0
Glyma.06G203600.Wm82.a4.v1	0	0	0	0
Glyma.06G203700.Wm82.a4.v1	109	92	12	38
Glyma.06G203800.Wm82.a4.v1	107	127	46	47
Glyma.06G203900.Wm82.a4.v1	3	9	0	10
Glyma.06G203950.Wm82.a4.v1	0	0	0	0
Glyma.06G204000.Wm82.a4.v1	0	0	0	0
Glyma.06G204100.Wm82.a4.v1	255	293	149	228
Glyma.06G204200.Wm82.a4.v1	273	401	45	144
Glyma.06G204300.Wm82.a4.v1	0	0	0	0
Glyma.06G204400.Wm82.a4.v1	300	391	137	410
Glyma.06G204500.Wm82.a4.v1	269	393	122	220
Glyma.06G204600.Wm82.a4.v1	192	177	112	245
Glyma.06G204800.Wm82.a4.v1	82	105	30	93
Glyma.06G205000.Wm82.a4.v1	187	329	107	217
Glyma.06G205100.Wm82.a4.v1	0	0	0	1
Glyma.06G205200.Wm82.a4.v1	0	0	0	0
Glyma.06G205400.Wm82.a4.v1	3866	4220	1439	3337
Glyma.06G205500.Wm82.a4.v1	0	0	0	0
Glyma.06G205600.Wm82.a4.v1	17	0	0	2
Glyma.06G205701.Wm82.a4.v1	0	16	3	4
Glyma.06G205800.Wm82.a4.v1	0	0	0	8
Glyma.06G205900.Wm82.a4.v1	72	112	38	157
Glyma.06G206000.Wm82.a4.v1	86	160	51	105
Glyma.06G206200.Wm82.a4.v1	5	9	11	3
Glyma.06G206400.Wm82.a4.v1	29	105	16	31
Glyma.06G206600.Wm82.a4.v1	695	581	176	434
Glyma.06G206700.Wm82.a4.v1	14	32	38	59
Glyma.06G206800.Wm82.a4.v1	68	139	47	91
Glyma.06G206900.Wm82.a4.v1	5	2	8	15
Glyma.06G207100.Wm82.a4.v1	0	0	0	0
Glyma.06G207300.Wm82.a4.v1	0	4	0	8
Glyma.06G207400.Wm82.a4.v1	0	0	0	0
Glyma.06G207600.Wm82.a4.v1	42	45	2	3
Glyma.06G207650.Wm82.a4.v1	0	0	0	0
Glyma.06G207701.Wm82.a4.v1	0	0	0	0
Glyma.06G207751.Wm82.a4.v1	0	0	0	0
Glyma.06G207800.Wm82.a4.v1	0	0	2	0
Glyma.06G207900.Wm82.a4.v1	2	11	9	12
Glyma.06G208000.Wm82.a4.v1	0	0	0	0
Glyma.06G208100.Wm82.a4.v1	56	83	31	58
Glyma.06G208200.Wm82.a4.v1	106	111	92	181
Glyma.06G208401.Wm82.a4.v1	0	0	0	0
Glyma.06G208500.Wm82.a4.v1	135	84	42	118
Glyma.06G208600.Wm82.a4.v1	0	0	0	0
Glyma.06G208700.Wm82.a4.v1	0	0	0	1
Glyma.06G208800.Wm82.a4.v1	0	0	0	0
Glyma.06G208900.Wm82.a4.v1	196	69	45	104
Glyma.06G209000.Wm82.a4.v1	686	803	319	649
Glyma.06G209100.Wm82.a4.v1	87	71	4	47
Glyma.06G209302.Wm82.a4.v1	0	9	8	5
Glyma.06G209400.Wm82.a4.v1	300	328	137	336
Glyma.06G209500.Wm82.a4.v1	0	0	0	0
Glyma.06G209600.Wm82.a4.v1	12	13	20	45
Glyma.06G209700.Wm82.a4.v1	103	136	72	171
Glyma.06G209800.Wm82.a4.v1	0	0	0	0
Glyma.06G209900.Wm82.a4.v1	0	0	6	2
Glyma.06G210200.Wm82.a4.v1	103	60	60	98
Glyma.06G210400.Wm82.a4.v1	1151	1043	441	1049
Glyma.06G210600.Wm82.a4.v1	0	0	3	6
Glyma.06G210800.Wm82.a4.v1	89	164	48	178
Glyma.06G210900.Wm82.a4.v1	19	20	0	7
Glyma.06G211200.Wm82.a4.v1	0	0	0	0
Glyma.06G211300.Wm82.a4.v1	347	360	140	460
Glyma.06G211400.Wm82.a4.v1	597	461	216	435
Glyma.06G211500.Wm82.a4.v1	300	233	141	264
Glyma.06G211600.Wm82.a4.v1	281	481	111	200
Glyma.06G211900.Wm82.a4.v1	2	18	10	10
Glyma.06G212000.Wm82.a4.v1	5	0	0	2
Glyma.06G212100.Wm82.a4.v1	0	0	0	0
Glyma.06G212101.Wm82.a4.v1	0	0	0	0
Glyma.06G212200.Wm82.a4.v1	0	0	0	0
Glyma.06G212500.Wm82.a4.v1	0	0	0	0
Glyma.06G212601.Wm82.a4.v1	3	3	14	29
Glyma.06G212700.Wm82.a4.v1	0	0	0	0
Glyma.06G212800.Wm82.a4.v1	0	0	0	0
Glyma.06G213000.Wm82.a4.v1	51	33	42	45
Glyma.06G213100.Wm82.a4.v1	59	137	25	65
Glyma.06G213101.Wm82.a4.v1	41	31	24	50
Glyma.06G213125.Wm82.a4.v1	0	0	0	0
Glyma.06G213300.Wm82.a4.v1	409	603	336	477
Glyma.06G213400.Wm82.a4.v1	78	92	32	73
Glyma.06G213500.Wm82.a4.v1	0	0	2	0
Glyma.06G213525.Wm82.a4.v1	0	0	3	0
Glyma.06G213600.Wm82.a4.v1	38	77	51	69
Glyma.06G213650.Wm82.a4.v1	14	17	0	13
Glyma.06G214050.Wm82.a4.v1	0	0	0	0
Glyma.06G214100.Wm82.a4.v1	0	0	0	0
Glyma.06G214300.Wm82.a4.v1	26	0	22	42
Glyma.06G214400.Wm82.a4.v1	37	11	5	15
Glyma.06G214600.Wm82.a4.v1	0	0	0	0
Glyma.06G214700.Wm82.a4.v1	29	8	11	19
Glyma.06G214800.Wm82.a4.v1	65	65	42	70
Glyma.06G214900.Wm82.a4.v1	720	771	311	539
Glyma.06G215200.Wm82.a4.v1	0	0	6	2
Glyma.06G215400.Wm82.a4.v1	613	674	241	673
Glyma.06G215600.Wm82.a4.v1	0	5	3	9
Glyma.06G215700.Wm82.a4.v1	109	80	56	100
Glyma.06G215900.Wm82.a4.v1	208	247	35	85
Glyma.06G216400.Wm82.a4.v1	119	102	55	129
Glyma.06G216500.Wm82.a4.v1	0	0	14	3
Glyma.06G216600.Wm82.a4.v1	153	89	69	108
Glyma.06G216700.Wm82.a4.v1	599	672	195	445
Glyma.06G216750.Wm82.a4.v1	0	0	0	0
Glyma.06G216800.Wm82.a4.v1	259	229	130	224
Glyma.06G217000.Wm82.a4.v1	397	467	305	557
Glyma.06G217050.Wm82.a4.v1	0	0	0	0
Glyma.06G217200.Wm82.a4.v1	317	320	113	310
Glyma.06G217400.Wm82.a4.v1	63	39	32	91
Glyma.06G217500.Wm82.a4.v1	375	371	157	245
Glyma.06G217600.Wm82.a4.v1	60	114	54	105
Glyma.06G217700.Wm82.a4.v1	0	33	31	45
Glyma.06G217900.Wm82.a4.v1	16	6	1	31
Glyma.06G218000.Wm82.a4.v1	0	0	0	0
Glyma.06G218100.Wm82.a4.v1	80	142	109	121
Glyma.06G218300.Wm82.a4.v1	275	493	157	288
Glyma.06G218400.Wm82.a4.v1	0	0	0	0
Glyma.06G218500.Wm82.a4.v1	38	10	5	11
Glyma.06G218600.Wm82.a4.v1	0	0	0	0
Glyma.06G218700.Wm82.a4.v1	0	8	0	0
Glyma.06G218900.Wm82.a4.v1	160	319	147	226
Glyma.06G219200.Wm82.a4.v1	312	328	189	321
Glyma.06G219400.Wm82.a4.v1	107	92	74	104
Glyma.06G219500.Wm82.a4.v1	0	0	0	0
Glyma.06G219600.Wm82.a4.v1	114	62	11	67
Glyma.06G219800.Wm82.a4.v1	246	175	174	397
Glyma.06G219901.Wm82.a4.v1	0	9	0	0
Glyma.06G220300.Wm82.a4.v1	48	49	20	50
Glyma.06G220500.Wm82.a4.v1	1055	990	508	1298
Glyma.06G220566.Wm82.a4.v1	5	4	7	12
Glyma.06G220600.Wm82.a4.v1	0	0	0	0
Glyma.06G220700.Wm82.a4.v1	24	99	431	648
Glyma.06G220766.Wm82.a4.v1	96	181	39	79
Glyma.06G220800.Wm82.a4.v1	83	123	241	451
Glyma.06G220900.Wm82.a4.v1	38	55	3	8
Glyma.06G221100.Wm82.a4.v1	4623	3450	1924	3362
Glyma.06G221300.Wm82.a4.v1	503	467	117	295
Glyma.06G221400.Wm82.a4.v1	180	155	23	57
Glyma.06G221500.Wm82.a4.v1	0	0	0	0
Glyma.06G221600.Wm82.a4.v1	992	1362	225	642
Glyma.06G221650.Wm82.a4.v1	0	0	0	0
Glyma.06G221700.Wm82.a4.v1	40	38	1	3
Glyma.06G221800.Wm82.a4.v1	0	0	0	2
Glyma.06G221900.Wm82.a4.v1	281	320	108	268
Glyma.06G222000.Wm82.a4.v1	343	351	112	216
Glyma.06G222100.Wm82.a4.v1	251	466	198	379
Glyma.06G222400.Wm82.a4.v1	169	192	69	160
Glyma.06G222500.Wm82.a4.v1	0	0	0	0
Glyma.06G222600.Wm82.a4.v1	1	8	1	13
Glyma.06G222700.Wm82.a4.v1	47	99	9	49
Glyma.06G222800.Wm82.a4.v1	0	0	0	0
Glyma.06G223100.Wm82.a4.v1	0	10	0	0
Glyma.06G223300.Wm82.a4.v1	93	218	67	100
Glyma.06G223400.Wm82.a4.v1	112	79	52	122
Glyma.06G223500.Wm82.a4.v1	314	574	116	371
Glyma.06G223600.Wm82.a4.v1	0	0	4	5
Glyma.06G223700.Wm82.a4.v1	258	282	56	209
Glyma.06G223800.Wm82.a4.v1	263	493	167	282
Glyma.06G223900.Wm82.a4.v1	0	0	0	0
Glyma.06G224200.Wm82.a4.v1	91	114	14	56
Glyma.06G224300.Wm82.a4.v1	392	304	177	360
Glyma.06G224700.Wm82.a4.v1	260	321	69	119
Glyma.06G224900.Wm82.a4.v1	0	9	10	8
Glyma.06G225000.Wm82.a4.v1	309	296	126	230
Glyma.06G225100.Wm82.a4.v1	184	245	70	144
Glyma.06G225200.Wm82.a4.v1	0	0	0	0
Glyma.06G225400.Wm82.a4.v1	0	0	0	1
Glyma.06G225500.Wm82.a4.v1	744	875	472	1611
Glyma.06G225700.Wm82.a4.v1	433	309	141	418
Glyma.06G225800.Wm82.a4.v1	560	497	217	403
Glyma.06G226000.Wm82.a4.v1	0	0	0	0
Glyma.06G226100.Wm82.a4.v1	0	0	0	1
Glyma.06G226300.Wm82.a4.v1	0	0	2	0
Glyma.06G226451.Wm82.a4.v1	0	0	0	0
Glyma.06G226700.Wm82.a4.v1	387	265	688	792
Glyma.06G226900.Wm82.a4.v1	0	0	0	0
Glyma.06G227000.Wm82.a4.v1	0	0	0	0
Glyma.06G227200.Wm82.a4.v1	1890	2517	1064	1851
Glyma.06G227300.Wm82.a4.v1	0	0	0	0
Glyma.06G227500.Wm82.a4.v1	87	143	48	57
Glyma.06G227600.Wm82.a4.v1	15	1	2	10
Glyma.06G227700.Wm82.a4.v1	5	36	20	31
Glyma.06G227850.Wm82.a4.v1	0	0	0	0
Glyma.06G227900.Wm82.a4.v1	0	0	0	0
Glyma.06G228200.Wm82.a4.v1	0	0	0	0
Glyma.06G228300.Wm82.a4.v1	0	0	0	0
Glyma.06G228700.Wm82.a4.v1	115	124	52	151
Glyma.06G228800.Wm82.a4.v1	343	432	125	311
Glyma.06G228900.Wm82.a4.v1	79	79	27	77
Glyma.06G229000.Wm82.a4.v1	12	23	2	19
Glyma.06G229100.Wm82.a4.v1	13	22	1	14
Glyma.06G229200.Wm82.a4.v1	64	56	30	39
Glyma.06G229400.Wm82.a4.v1	623	784	207	559
Glyma.06G229700.Wm82.a4.v1	0	0	0	0
Glyma.06G229800.Wm82.a4.v1	0	0	0	0
Glyma.06G229900.Wm82.a4.v1	643	1199	743	1649
Glyma.06G230000.Wm82.a4.v1	10	0	0	8
Glyma.06G230100.Wm82.a4.v1	4	22	4	17
Glyma.06G230200.Wm82.a4.v1	0	0	0	0
Glyma.06G230300.Wm82.a4.v1	721	767	394	651
Glyma.06G230400.Wm82.a4.v1	738	814	227	530
Glyma.06G230500.Wm82.a4.v1	0	0	0	0
Glyma.06G230600.Wm82.a4.v1	234	336	93	192
Glyma.06G230700.Wm82.a4.v1	0	0	0	0
Glyma.06G230800.Wm82.a4.v1	160	192	140	233
Glyma.06G231000.Wm82.a4.v1	556	360	185	580
Glyma.06G231100.Wm82.a4.v1	74	74	7	13
Glyma.06G231200.Wm82.a4.v1	74	89	42	108
Glyma.06G231300.Wm82.a4.v1	132	153	51	195
Glyma.06G231400.Wm82.a4.v1	0	0	0	3
Glyma.06G231500.Wm82.a4.v1	2615	2645	1219	2364
Glyma.06G231750.Wm82.a4.v1	8	0	0	0
Glyma.06G231800.Wm82.a4.v1	0	0	0	0
Glyma.06G231900.Wm82.a4.v1	0	0	0	0
Glyma.06G232000.Wm82.a4.v1	0	0	0	0
Glyma.06G232050.Wm82.a4.v1	0	0	0	0
Glyma.06G232100.Wm82.a4.v1	111	123	98	190
Glyma.06G232200.Wm82.a4.v1	0	0	0	0
Glyma.06G232300.Wm82.a4.v1	151	229	88	161
Glyma.06G232400.Wm82.a4.v1	43	34	7	17
Glyma.06G232600.Wm82.a4.v1	0	0	0	0
Glyma.06G232700.Wm82.a4.v1	1	0	0	1
Glyma.06G232800.Wm82.a4.v1	0	0	1	2
Glyma.06G233251.Wm82.a4.v1	2	0	0	0
Glyma.06G233300.Wm82.a4.v1	260	198	81	165
Glyma.06G233600.Wm82.a4.v1	0	0	5	4
Glyma.06G233900.Wm82.a4.v1	0	0	0	0
Glyma.06G234000.Wm82.a4.v1	0	0	0	0
Glyma.06G234050.Wm82.a4.v1	0	1	7	2
Glyma.06G234100.Wm82.a4.v1	261	209	119	225
Glyma.06G234200.Wm82.a4.v1	183	143	68	184
Glyma.06G234250.Wm82.a4.v1	0	0	0	0
Glyma.06G234300.Wm82.a4.v1	129	209	125	332
Glyma.06G234400.Wm82.a4.v1	0	0	0	0
Glyma.06G234451.Wm82.a4.v1	0	6	0	0
Glyma.06G234500.Wm82.a4.v1	0	0	4	12
Glyma.06G234700.Wm82.a4.v1	24	29	39	42
Glyma.06G234800.Wm82.a4.v1	69	59	41	67
Glyma.06G234900.Wm82.a4.v1	0	0	0	0
Glyma.06G235000.Wm82.a4.v1	13	14	0	1
Glyma.06G235100.Wm82.a4.v1	0	0	0	0
Glyma.06G235200.Wm82.a4.v1	111	177	45	94
Glyma.06G235500.Wm82.a4.v1	175	109	47	141
Glyma.06G235600.Wm82.a4.v1	0	0	0	0
Glyma.06G235701.Wm82.a4.v1	0	0	0	0
Glyma.06G235801.Wm82.a4.v1	6	0	8	1
Glyma.06G235900.Wm82.a4.v1	0	0	3	1
Glyma.06G236000.Wm82.a4.v1	0	0	0	0
Glyma.06G236100.Wm82.a4.v1	325	392	158	344
Glyma.06G236200.Wm82.a4.v1	400	434	141	264
Glyma.06G236300.Wm82.a4.v1	0	0	0	0
Glyma.06G236400.Wm82.a4.v1	114	43	47	134
Glyma.06G236600.Wm82.a4.v1	0	17	16	4
Glyma.06G236626.Wm82.a4.v1	21	42	25	12
Glyma.06G236651.Wm82.a4.v1	12	11	0	6
Glyma.06G236676.Wm82.a4.v1	354	650	547	599
Glyma.06G236700.Wm82.a4.v1	125	93	58	127
Glyma.06G236800.Wm82.a4.v1	0	0	0	1
Glyma.06G236900.Wm82.a4.v1	0	0	0	0
Glyma.06G236901.Wm82.a4.v1	0	0	0	0
Glyma.06G237100.Wm82.a4.v1	0	0	0	0
Glyma.06G237200.Wm82.a4.v1	0	24	5	1
Glyma.06G237300.Wm82.a4.v1	0	0	0	1
Glyma.06G237366.Wm82.a4.v1	0	0	0	0
Glyma.06G237432.Wm82.a4.v1	8	0	0	0
Glyma.06G237700.Wm82.a4.v1	37	29	33	50
Glyma.06G237750.Wm82.a4.v1	0	0	1	1
Glyma.06G237800.Wm82.a4.v1	0	4	0	0
Glyma.06G237900.Wm82.a4.v1	0	0	0	2
Glyma.06G238000.Wm82.a4.v1	405	474	141	430
Glyma.06G238100.Wm82.a4.v1	0	0	0	0
Glyma.06G238200.Wm82.a4.v1	377	247	151	314
Glyma.06G238300.Wm82.a4.v1	2	11	5	2
Glyma.06G238400.Wm82.a4.v1	32	115	4	27
Glyma.06G238500.Wm82.a4.v1	1113	595	128	521
Glyma.06G238600.Wm82.a4.v1	11	4	0	0
Glyma.06G238700.Wm82.a4.v1	91	120	49	123
Glyma.06G238876.Wm82.a4.v1	51	51	30	50
Glyma.06G238951.Wm82.a4.v1	0	12	9	2
Glyma.06G239026.Wm82.a4.v1	18	0	16	11
Glyma.06G239100.Wm82.a4.v1	151	154	117	222
Glyma.06G239200.Wm82.a4.v1	87	41	30	56
Glyma.06G239500.Wm82.a4.v1	110	72	21	39
Glyma.06G239600.Wm82.a4.v1	0	0	0	0
Glyma.06G239751.Wm82.a4.v1	0	0	0	0
Glyma.06G239800.Wm82.a4.v1	0	0	0	0
Glyma.06G239900.Wm82.a4.v1	176	144	154	207
Glyma.06G240000.Wm82.a4.v1	136	219	75	135
Glyma.06G240100.Wm82.a4.v1	324	386	150	270
Glyma.06G240300.Wm82.a4.v1	362	382	371	833
Glyma.06G240400.Wm82.a4.v1	80	48	6	33
Glyma.06G240500.Wm82.a4.v1	1432	1746	549	1136
Glyma.06G240600.Wm82.a4.v1	183	369	85	162
Glyma.06G240700.Wm82.a4.v1	37	90	15	40
Glyma.06G240800.Wm82.a4.v1	0	0	0	0
Glyma.06G240900.Wm82.a4.v1	8	0	0	1
Glyma.06G241100.Wm82.a4.v1	0	0	0	0
Glyma.06G241300.Wm82.a4.v1	0	0	0	0
Glyma.06G241600.Wm82.a4.v1	73	93	32	36
Glyma.06G242000.Wm82.a4.v1	77	98	36	42
Glyma.06G242100.Wm82.a4.v1	0	0	0	4
Glyma.06G242550.Wm82.a4.v1	0	0	0	0
Glyma.06G242600.Wm82.a4.v1	369	375	129	342
Glyma.06G242700.Wm82.a4.v1	326	257	147	344
Glyma.06G242800.Wm82.a4.v1	382	339	273	363
Glyma.06G242900.Wm82.a4.v1	8715	8106	2752	4335
Glyma.06G243000.Wm82.a4.v1	0	0	0	0
Glyma.06G243050.Wm82.a4.v1	10	2	1	9
Glyma.06G243100.Wm82.a4.v1	0	2	4	4
