gene_id	control_1	control_2	treatment_1	treatment_2
Glyma.01G010400.Wm82.a4.v1	432	417	280	535
Glyma.01G010500.Wm82.a4.v1	16	0	92	98
Glyma.01G010600.Wm82.a4.v1	397	392	189	386
Glyma.01G010700.Wm82.a4.v1	0	0	26	17
Glyma.01G010800.Wm82.a4.v1	92	69	69	96
Glyma.01G010900.Wm82.a4.v1	302	267	168	396
Glyma.01G011000.Wm82.a4.v1	213	201	41	144
Glyma.01G011100.Wm82.a4.v1	1071	915	554	1004
Glyma.01G011200.Wm82.a4.v1	378	489	233	459
Glyma.01G011300.Wm82.a4.v1	333	294	45	174
Glyma.01G011400.Wm82.a4.v1	125	123	57	77
Glyma.01G011500.Wm82.a4.v1	0	0	2	1
Glyma.01G011600.Wm82.a4.v1	0	0	98	78
Glyma.01G011700.Wm82.a4.v1	19	9	30	59
Glyma.01G011800.Wm82.a4.v1	0	0	0	0
Glyma.01G011900.Wm82.a4.v1	289	306	75	203
Glyma.01G012000.Wm82.a4.v1	72	73	9	24
Glyma.01G012100.Wm82.a4.v1	241	293	31	112
Glyma.01G012200.Wm82.a4.v1	0	0	0	1
Glyma.01G012300.Wm82.a4.v1	51	118	76	169
Glyma.01G012400.Wm82.a4.v1	67	87	44	122
Glyma.01G012500.Wm82.a4.v1	793	885	474	1086
Glyma.01G012700.Wm82.a4.v1	438	749	433	355
Glyma.01G012800.Wm82.a4.v1	0	0	2	2
Glyma.01G013000.Wm82.a4.v1	0	2	0	0
Glyma.01G013100.Wm82.a4.v1	0	0	0	0
Glyma.01G013200.Wm82.a4.v1	0	0	0	0
Glyma.01G013300.Wm82.a4.v1	0	0	0	0
Glyma.01G013500.Wm82.a4.v1	0	0	0	0
Glyma.01G013600.Wm82.a4.v1	306	337	143	238
Glyma.01G013800.Wm82.a4.v1	63	18	16	72
Glyma.01G013900.Wm82.a4.v1	125	161	104	219
Glyma.01G014000.Wm82.a4.v1	229	164	123	279
Glyma.01G014100.Wm82.a4.v1	456	522	106	309
Glyma.01G014200.Wm82.a4.v1	145	174	106	270
Glyma.01G014400.Wm82.a4.v1	208	208	55	148
