"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Glyma.01G000359.Wm82.a4.v1",60.3576875139762,-2.25707142434195,0.714658141182784,-3.15825328821753,0.00158717589484947,0.0197516923076494
"Glyma.01G004100.Wm82.a4.v1",270.912789431657,1.23406818707885,0.343353472637612,3.59416253343483,0.000325436646057965,0.00531166937273782
"Glyma.01G004200.Wm82.a4.v1",3643.64825851138,1.86591106746017,0.273581864634406,6.8203024712681,9.08490246335664e-12,6.69946664512099e-10
"Glyma.01G004600.Wm82.a4.v1",122.288497597141,-2.08934961973699,0.602118830616331,-3.46999547846448,0.000520467126410132,0.00787720281429564
"Glyma.01G004800.Wm82.a4.v1",248.345423542538,4.34825732527956,0.435096926163412,9.99376705237045,1.62294242573326e-23,3.5904123435579e-21
"Glyma.01G005100.Wm82.a4.v1",185.098697788699,3.09155241423941,0.530979809883201,5.82235398916478,5.80244862030825e-09,2.92121974428132e-07
"Glyma.01G005400.Wm82.a4.v1",251.663459849377,1.69046519731811,0.360969400677673,4.68312603268998,2.82532673251802e-06,8.20574076889986e-05
"Glyma.01G005600.Wm82.a4.v1",159.512481200781,-1.47444163731233,0.458135101062426,-3.21835553288335,0.00128927899642038,0.0166937914202057
"Glyma.01G006200.Wm82.a4.v1",967.928179362513,-1.29545768450566,0.255850332445223,-5.06334180661271,4.11970249550165e-07,1.44801956857314e-05
"Glyma.01G007200.Wm82.a4.v1",1072.79334764637,2.19281553868079,0.240332509834663,9.12409037041779,7.23411920322714e-20,1.16695385397058e-17
"Glyma.01G007300.Wm82.a4.v1",216.311438373145,2.86336228364912,0.386523172632356,7.40799643174986,1.28221752975915e-13,1.19905921895231e-11
"Glyma.01G007400.Wm82.a4.v1",456.854935211396,1.54368975359223,0.305180648402601,5.05828191162292,4.23050705749952e-07,1.48220887539451e-05
"Glyma.01G007500.Wm82.a4.v1",97.5323021299221,2.48145687306413,0.552511240397473,4.4912332847364,7.0811937399941e-06,0.000186495520846171
"Glyma.01G007700.Wm82.a4.v1",498.385062470583,0.830377455691559,0.293133236048871,2.83276460521562,0.00461473549361253,0.0459160844603467
"Glyma.01G008400.Wm82.a4.v1",432.88561552816,1.15506545949985,0.295014963594102,3.91527753517293,9.0300273887411e-05,0.00175677140881966
"Glyma.01G009700.Wm82.a4.v1",362.465919450932,-1.16978186151046,0.314466941257165,-3.71988819185237,0.000199310991126945,0.00348366818125493
"Glyma.01G010700.Wm82.a4.v1",15.380936583317,7.72061841704168,1.96177539374244,3.93552617780225,8.30146144408127e-05,0.00162729660662079
"Glyma.01G011600.Wm82.a4.v1",60.946935861244,9.71082310313739,1.61558187981605,6.01072791447936,1.84692155302454e-09,9.9587141957305e-08
"Glyma.01G012100.Wm82.a4.v1",142.601505551423,-1.44470995017128,0.474525432552322,-3.04453639586953,0.00233039231248698,0.0268515292791469
"Glyma.01G015000.Wm82.a4.v1",487.380534127192,0.990185828423344,0.318465314037187,3.10924230921964,0.00187567822430066,0.0225588326976701
"Glyma.01G017100.Wm82.a4.v1",1468.54094623724,2.70610651671498,0.277285827484347,9.75926732810657,1.68367153512308e-22,3.34273556319437e-20
"Glyma.01G017700.Wm82.a4.v1",1366.00142156632,0.815021247987636,0.224525820965682,3.6299666759139,0.000283457812674296,0.00471192323644713
"Glyma.01G018100.Wm82.a4.v1",1504.15525819501,-1.25926074305648,0.255560453878791,-4.92744759192569,8.33107594965038e-07,2.72183633241109e-05
"Glyma.01G018400.Wm82.a4.v1",764.138499070173,0.977774780693616,0.27419443637568,3.56599059272648,0.000362484374116214,0.00582064808955173
"Glyma.01G019000.Wm82.a4.v1",249.337257919357,1.5045944621409,0.402054282626878,3.74226697029671,0.000182367619753997,0.00322538254855003
"Glyma.01G019500.Wm82.a4.v1",200.641606271855,-1.57556606483442,0.439797550846595,-3.58248030668091,0.00034034728165045,0.00551319874857622
"Glyma.01G020900.Wm82.a4.v1",4888.18481892695,-0.752643663419529,0.222132167893402,-3.38826956292397,0.00070335102292911,0.0101190021749166
"Glyma.01G022400.Wm82.a4.v1",70.975558422793,2.40916523520856,0.639163118776809,3.76924945203201,0.000163739180410023,0.00293958329624988
"Glyma.01G024000.Wm82.a4.v1",1851.84865948447,0.973350337556737,0.22528823378334,4.32046681360559,1.55699471835677e-05,0.000371634096924676
"Glyma.01G024800.Wm82.a4.v1",26.1422498622475,8.49122136778312,1.75726029336834,4.83207945904646,1.35114304361539e-06,4.20879660035811e-05
"Glyma.01G026200.Wm82.a4.v1",1090.41768519431,0.885837648688673,0.242869052222572,3.64738792605353,0.000264919803268171,0.0044457608077708
